"","GEOID","NAME","pop","blk_tot","wht_tot","hsp_tot","aapi_tot","hhs","renter_hh","owner_hh","med_inc","year","pct_wht","pct_blk","pct_hsp","pct_aapi","rent_pct","tract"
"198",42101026800,"Census Tract 268, Philadelphia County, Pennsylvania",4408,3579,405,346,62,1894,1187,586,25108,2020,9.18784029038112,81.1932849364791,7.84936479128857,1.4065335753176,62.6715945089757,"026800"
"199",42101027402,"Census Tract 274.02, Philadelphia County, Pennsylvania",7739,4341,977,2448,492,2376,561,2205,22491,2020,12.6243700736529,56.0925184132317,31.6319937976483,6.3574105181548,23.6111111111111,"027402"
"200",42101027800,"Census Tract 278, Philadelphia County, Pennsylvania",4473,4258,137,51,35,1752,745,983,23535,2020,3.06282137268053,95.1933825173262,1.140174379611,0.782472613458529,42.5228310502283,"027800"
"201",42101027901,"Census Tract 279.01, Philadelphia County, Pennsylvania",3806,3504,75,77,20,1322,598,1049,25645,2020,1.97057277982133,92.0651602732528,2.02312138728324,0.525486074619023,45.2344931921331,"027901"
"202",42101028200,"Census Tract 282, Philadelphia County, Pennsylvania",4484,3667,147,190,597,2044,667,941,23782,2020,3.27832292595897,81.7796610169492,4.23728813559322,13.314005352364,32.6320939334638,"028200"
"203",42101029000,"Census Tract 290, Philadelphia County, Pennsylvania",8010,2534,1043,3412,1484,2036,1211,1679,19463,2020,13.0212234706617,31.6354556803995,42.5967540574282,18.5268414481898,59.4793713163065,"029000"
"204",42101029100,"Census Tract 291, Philadelphia County, Pennsylvania",4824,1386,515,1403,1011,2304,853,740,12199,2020,10.6757877280265,28.7313432835821,29.0837479270315,20.9577114427861,37.0225694444444,"029100"
"205",42101030000,"Census Tract 300, Philadelphia County, Pennsylvania",7376,4367,1572,1964,101,2453,837,1241,19502,2020,21.3123644251627,59.2055314533623,26.6268980477223,1.36930585683297,34.1214838972687,"030000"
"206",42101030200,"Census Tract 302, Philadelphia County, Pennsylvania",8835,4681,2164,2636,193,2734,804,2689,25126,2020,24.4934917940011,52.9824561403509,29.8358800226372,2.184493491794,29.407461594733,"030200"
"207",42101030502,"Census Tract 305.02, Philadelphia County, Pennsylvania",7702,3684,1528,1475,416,1801,485,2015,23404,2020,19.8390028564009,47.8317320176577,19.1508699039211,5.40119449493638,26.929483620211,"030502"
"208",42101030800,"Census Tract 308, Philadelphia County, Pennsylvania",5727,1174,2634,1225,858,1965,730,1719,29037,2020,45.9926663174437,20.499388859787,21.3899074559106,14.9816657936092,37.1501272264631,"030800"
"209",42101031102,"Census Tract 311.02, Philadelphia County, Pennsylvania",4709,2135,928,2034,369,1253,366,1273,22129,2020,19.706944149501,45.3387131025695,43.1938840518157,7.8360586111701,29.2098962490024,"031102"
"210",42101031300,"Census Tract 313, Philadelphia County, Pennsylvania",7692,1537,2752,1765,1459,2305,1810,1283,23956,2020,35.7774310972439,19.9817992719709,22.9459178367135,18.9677587103484,78.5249457700651,"031300"
"211",42101031600,"Census Tract 316, Philadelphia County, Pennsylvania",6553,1690,3687,1121,635,2045,1560,1390,30336,2020,56.2643064245384,25.7897146345185,17.1066687013582,9.69021822066229,76.2836185819071,"031600"
"212",42101031800,"Census Tract 318, Philadelphia County, Pennsylvania",4305,1860,1266,1206,237,1650,889,1412,33785,2020,29.4076655052265,43.205574912892,28.01393728223,5.50522648083624,53.8787878787879,"031800"
"213",42101032100,"Census Tract 321, Philadelphia County, Pennsylvania",3686,773,1998,1398,39,1528,868,848,30180,2020,54.2051003798155,20.971242539338,37.927292457949,1.05805751492132,56.8062827225131,"032100"
"214",42101032500,"Census Tract 325, Philadelphia County, Pennsylvania",5943,1246,2974,1187,621,2304,462,1571,25034,2020,50.0420662964833,20.9658421672556,19.9730775702507,10.4492680464412,20.0520833333333,"032500"
"215",42101033000,"Census Tract 330, Philadelphia County, Pennsylvania",9169,1820,4928,2638,569,2931,1538,1877,22493,2020,53.7463191187698,19.8494928563638,28.7708583269713,6.20569309630276,52.4735585124531,"033000"
"216",42101033500,"Census Tract 335, Philadelphia County, Pennsylvania",3801,877,1768,448,738,1379,789,900,25639,2020,46.514075243357,23.0728755590634,11.7863720073665,19.4159431728492,57.2153734590283,"033500"
"217",42101033600,"Census Tract 336, Philadelphia County, Pennsylvania",7028,1489,4184,688,1176,2485,1286,1407,27969,2020,59.5332953898691,21.1866818440524,9.78941377347752,16.7330677290837,51.7505030181087,"033600"
"218",42101035302,"Census Tract 353.02, Philadelphia County, Pennsylvania",4569,433,3367,392,205,1740,621,1313,32049,2020,73.6922740205734,9.47690960822937,8.57955789012913,4.4867585905012,35.6896551724138,"035302"
"219",42101034702,"Census Tract 347.02, Philadelphia County, Pennsylvania",3493,339,2521,351,313,1317,196,1601,42833,2020,72.1729172630976,9.70512453478385,10.0486687661036,8.96077870025766,14.8823082763857,"034702"
"220",42101036203,"Census Tract 362.03, Philadelphia County, Pennsylvania",4827,146,4381,356,122,1818,145,2007,37913,2020,90.7603066086596,3.02465299357779,7.3751812720116,2.52744976175678,7.97579757975798,"036203"
"221",42101017602,"Census Tract 176.02, Philadelphia County, Pennsylvania",4220,612,870,3164,296,1239,693,264,10465,2020,20.6161137440758,14.5023696682464,74.9763033175355,7.01421800947867,55.9322033898305,"017602"
"222",42101017300,"Census Tract 173, Philadelphia County, Pennsylvania",2547,2114,75,286,2,1145,96,558,15912,2020,2.94464075382803,82.9996073812328,11.2288967412642,0.0785237534354142,8.38427947598253,"017300"
"223",42101017702,"Census Tract 177.02, Philadelphia County, Pennsylvania",4705,922,1081,3513,0,1421,571,611,11122,2020,22.9755579171095,19.596174282678,74.6652497343252,0,40.18296973962,"017702"
